ID,category
1,"Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists"
2,"Shipping Centers, Local Services, Notaries, Mailbox Centers, Printing Services"
3,"Department Stores, Shopping, Fashion, Home & Garden, Electronics, Furniture Stores"
4,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries"
5,"Brewpubs, Breweries, Food"
6,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants"
7,"Sporting Goods, Fashion, Shoe Stores, Shopping, Sports Wear, Accessories"
8,"Synagogues, Religious Organizations"
9,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek"
10,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food"
11,"Department Stores, Shopping, Fashion"
12,"Vietnamese, Food, Restaurants, Food Trucks"
13,"American (Traditional), Restaurants, Diners, Breakfast & Brunch"
14,"General Dentistry, Dentists, Health & Medical, Cosmetic Dentists"
15,"Food, Delis, Italian, Bakeries, Restaurants"
16,"Sushi Bars, Restaurants, Japanese"
17,"Automotive, Auto Parts & Supplies, Auto Customization"
18,"Vape Shops, Tobacco Shops, Personal Shopping, Vitamins & Supplements, Shopping"
19,"Automotive, Car Rental, Hotels & Travel, Truck Rental"
20,"Korean, Restaurants"
21,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife"
22,"Shopping, Books, Mags, Music & Video, Bookstores"
23,"Steakhouses, Asian Fusion, Restaurants"
24,"Restaurants, Italian"
25,"Hot Dogs, Restaurants"
26,"Pet Services, Pet Groomers, Pets, Veterinarians"
27,"Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion"
28,"Restaurants, Japanese, Seafood"
29,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants"
30,"Pizza, Chicken Wings, Sandwiches, Restaurants"
31,"Trampoline Parks, Active Life"
32,"Pizza, Restaurants, Salad, Soup"
33,"Dance Wear, Sports Wear, Children's Clothing, Arts & Entertainment, Social Clubs, Performing Arts, Sporting Goods, Shoe Stores, Fashion, Shopping"
34,"Pizza, Restaurants"
35,"Event Planning & Services, Hotels, Hotels & Travel"
36,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants"
37,"Restaurants, Burgers"
38,"Mobile Phones, Telecommunications, Electronics, Mobile Phone Accessories, Local Services, Shopping, IT Services & Computer Repair"
39,"Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums"
40,"Musicians, DJs, Karaoke, Event Planning & Services, Nightlife"
41,"Hair Salons, Hair Extensions, Beauty & Spas, Wigs, Shopping"
42,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops"
43,"DUI Law, Professional Services, Lawyers, Criminal Defense Law"
44,"Health & Medical, Beauty & Spas, Laser Hair Removal, Doctors, Hair Removal, Chiropractors, Weight Loss Centers, Sports Medicine, Medical Spas, Skin Care"
45,"Fashion, Shopping, Department Stores, Furniture Stores, Candle Stores, Home & Garden, Home Decor"
46,"Restaurants, Chinese"
47,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes"
48,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners"
49,"Shipping Centers, Local Services"
50,"Restaurants, Italian"
51,"Active Life, Fitness & Instruction, Trainers, Gyms, Yoga"
52,"Real Estate Agents, Home Services, Real Estate"
53,"Specialty Food, Bakeries, Food, Health Markets"
54,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food"
55,"Food, Grocery, Convenience Stores"
56,"Hotels, Hotels & Travel, Event Planning & Services"
57,"Vitamins & Supplements, Ice Cream & Frozen Yogurt, Food, Juice Bars & Smoothies, Shopping"
58,"Ophthalmologists, Eyewear & Opticians, Health & Medical, Shopping, Doctors, Optometrists"
59,"Restaurants, American (New), Italian"
60,"Restaurants, Pizza"
61,"Restaurants, Soup, Seafood, Burgers"
62,"Sports Bars, American (New), American (Traditional), Nightlife, Bars, Restaurants"
63,"Gastropubs, Cocktail Bars, Beer Bar, Bars, Restaurants, Nightlife"
64,"Uniforms, Shopping"
65,"Seafood, Restaurants, Bars, Nightlife, Cocktail Bars, American (New), Pubs"
66,"Hotels & Travel, Tours, Local Flavor"
67,"Local Services, Appliances & Repair"
68,"Towing, Hotels & Travel, Automotive, Motorcycle Rental, Motorcycle Gear, Shopping"
69,"Chocolatiers & Shops, Specialty Food, Candy Stores, Food"
70,"Food, Grocery"
71,"Food Trucks, Food"
72,"Shopping, Baby Gear & Furniture, Home Decor, Furniture Stores, Home & Garden"
73,"Banks & Credit Unions, Financial Services"
74,"American (Traditional), Bars, Nightlife, Sports Bars, Restaurants"
75,"Health & Medical, Personal Care Services, Beauty & Spas, Massage, Nail Salons"
76,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife, Steakhouses, Salad, Beer Bar"
77,"Food, Grocery"
78,"Tabletop Games, Shopping, Sporting Goods"
79,"Italian, Restaurants"
80,"Burgers, Sports Bars, Bars, Lounges, Restaurants, Salad, Wraps, Nightlife, American (New)"
81,"Festivals, Arts & Entertainment"
82,"Food, Beer, Wine & Spirits, Breweries"
83,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores"
84,"Restaurants, Japanese, Sushi Bars, Asian Fusion"
85,"Keys & Locksmiths, Home Services, Local Services"
86,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries"
87,"Pet Groomers, Pet Sitting, Pets, Pet Services"
88,"Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces"
89,"Juice Bars & Smoothies, Restaurants, Fruits & Veggies, Salad, Specialty Food, Food"
90,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food"
91,"Home Decor, Shopping, Antiques, Books, Mags, Music & Video, Home & Garden"
92,"Towing, Automotive, Body Shops"
93,"Fashion, Shopping, Men's Clothing"
94,"Restaurants, Italian, Food Trucks, Food"
95,"Masonry/Concrete, Gardeners, Lawn Services, Tree Services, Landscape Architects, Home Services, Contractors, Landscaping"
96,"Karaoke, DJs, Event Planning & Services, Party & Event Planning, Nightlife"
97,"Event Planning & Services, Caterers, Party & Event Planning"
98,"Sporting Goods, Sports Wear, Fashion, Restaurants, Fast Food, Sandwiches, Shopping"
99,"Real Estate, Home Services, Financial Services, Mortgage Brokers, Mortgage Lenders"
100,"American (New), Restaurants, Cafes, Italian, American (Traditional)"
101,"Fitness & Instruction, Physical Therapy, Health & Medical, Active Life, Trainers"
102,"Women's Clothing, Men's Clothing, Accessories, Fashion, Jewelry, Department Stores, Shopping, Shoe Stores"
